,National Level Pivots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCE,MAT NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. VHWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<20 or (blank),20-29,30-39,40-49,50-59,60-70,>70,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,
BINGA,3,,8,112,149,22,,294,,,,,,,,,,,,,,,,,,,,,,,,,
BUBI,1,4,20,48,68,50,13,204,,,,,,,,,,,,,,,,,,,,,,,,,
HWANGE,2,3,36,73,86,34,,234,,,,,,,,,,,,,,,,,,,,,,,,,
LUPANE,,2,12,50,82,48,3,197,,,,,,,,,,,,,,,,,,,,,,,,,
NKAYI,2,,6,37,91,48,11,195,,,,,,,,,,,,,,,,,,,,,,,,,
TSHOLOTSHO,,,3,46,104,71,10,234,,,,,,,,,,,,,,,,,,,,,,,,,
UMGUZA,,3,27,71,59,59,13,232,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,8,12,112,437,639,332,50,"1,590",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
